"releaseYear","releaseMonth","releaseNum"
"2000","12","439"
"2001","0","458"
"2001","1","697"
"2001","2","612"
"2001","3","641"
"2001","4","646"
"2001","5","1133"
"2001","6","645"
"2001","7","613"
"2001","8","854"
"2001","9","723"
"2001","10","858"
"2001","11","657"
"2001","12","477"
"2002","0","521"
"2002","1","1419"
"2002","2","790"
"2002","3","592"
"2002","4","688"
"2002","5","748"
"2002","6","655"
"2002","7","562"
"2002","8","807"
"2002","9","773"
"2002","10","781"
"2002","11","701"
"2002","12","574"
"2003","0","545"
"2003","1","827"
"2003","2","724"
"2003","3","756"
"2003","4","735"
"2003","5","772"
"2003","6","814"
"2003","7","842"
"2003","8","828"
"2003","9","1148"
"2003","10","907"
"2003","11","815"
"2003","12","632"
"2004","0","620"
"2004","1","979"
"2004","2","1068"
"2004","3","947"
"2004","4","1006"
"2004","5","748"
"2004","6","960"
"2004","7","655"
"2004","8","949"
"2004","9","980"
"2004","10","901"
"2004","11","860"
"2004","12","708"
"2005","0","836"
"2005","1","835"
"2005","2","791"
"2005","3","867"
"2005","4","825"
"2005","5","840"
"2005","6","811"
"2005","7","758"
"2005","8","1056"
"2005","9","1007"
"2005","10","889"
"2005","11","872"
"2005","12","664"
"2006","0","1299"
"2006","1","862"
"2006","2","781"
"2006","3","793"
"2006","4","678"
"2006","5","808"
"2006","6","839"
"2006","7","596"
"2006","8","777"
"2006","9","885"
"2006","10","815"
"2006","11","813"
"2006","12","600"
"2007","0","1776"
"2007","1","905"
"2007","2","656"
"2007","3","679"
"2007","4","655"
"2007","5","770"
"2007","6","710"
"2007","7","816"
"2007","8","711"
"2007","9","892"
"2007","10","1137"
"2007","11","779"
"2007","12","519"
"2008","0","1746"
"2008","1","779"
"2008","2","648"
"2008","3","627"
"2008","4","649"
"2008","5","690"
"2008","6","617"
"2008","7","664"
"2008","8","743"
"2008","9","1031"
"2008","10","757"
"2008","11","801"
"2008","12","692"
"2009","0","1990"
"2009","1","816"
"2009","2","955"
"2009","3","837"
"2009","4","620"
"2009","5","694"
"2009","6","813"
"2009","7","598"
"2009","8","654"
"2009","9","937"
"2009","10","752"
"2009","11","801"
"2009","12","633"
"2010","0","2081"
"2010","1","770"
"2010","2","643"
"2010","3","713"
"2010","4","2147"
"2010","5","665"
"2010","6","830"
"2010","7","637"
"2010","8","640"
"2010","9","717"
"2010","10","706"
"2010","11","855"
"2010","12","662"
"2011","0","2228"
"2011","1","637"
"2011","2","626"
"2011","3","959"
"2011","4","768"
"2011","5","783"
"2011","6","833"
"2011","7","531"
"2011","8","661"
"2011","9","713"
"2011","10","692"
"2011","11","688"
"2011","12","456"
"2012","0","1505"
"2012","1","689"
"2012","2","495"
"2012","3","807"
"2012","4","507"
"2012","5","587"
"2012","6","494"
"2012","7","496"
"2012","8","463"
"2012","9","490"
"2012","10","489"
"2012","11","196"
"2012","12","94"
"2013","0","112"
"2013","1","115"
"2013","2","41"
"2013","3","49"
"2013","4","25"
"2013","5","12"
"2013","6","17"
"2013","7","16"
"2013","8","34"
"2013","9","32"
"2013","10","8"
"2013","11","12"
"2013","12","3"
"2014","0","32"
"2014","1","11"
"2014","2","11"
"2014","3","6"
"2014","4","15"
"2014","5","28"
"2014","6","3"
"2014","7","11"
"2014","8","3"
"2014","9","2"
"2014","10","49"
"2014","11","2"
"2014","12","3"
"2015","0","31"
"2015","1","4"
"2015","2","3"
"2015","3","3"
"2015","4","2"
"2015","5","11"
"2015","6","17"
"2015","7","99"
"2015","8","11"
"2015","9","11"
"2015","10","1"
"2015","11","154"
"2015","12","23"
"2016","0","180"
"2016","1","3"
"2016","2","8"
"2016","3","36"
"2016","4","4"
"2016","5","11"
"2016","6","4"
"2016","7","411"
"2016","8","18"
"2016","9","10"
"2016","10","19"
"2016","11","34"
"2016","12","7"
"2017","0","34"
"2017","1","8"
"2017","2","22"
"2017","3","6"
"2017","4","4"
"2017","5","3"
"2017","6","1"
"2017","7","1"
"2017","8","6"
"2017","9","5"
"2017","11","2"
"2017","12","4"
"2018","0","22"
"2018","1","17"
"2018","2","43"
"2018","3","5"
"2018","4","5"
"2018","5","7"
"2018","6","1"
"2018","7","8"
"2018","8","3"
"2018","9","65"
"2018","10","6"
"2018","11","5"
"2019","0","32"
"2019","1","18"
"2019","2","22"
"2019","3","1"
"2019","4","9"
"2019","5","12"
"2019","6","23"
"2019","7","11"
"2019","8","29"
"2019","9","4"
"2019","10","33"
"2019","11","27"
"2019","12","13"
"2020","0","41"
"2020","1","26"
"2020","2","21"
"2020","3","71"
"2020","4","7"
"2020","5","23"
"2020","6","57"
"2020","7","76"
"2020","8","31"
"2020","9","10"
"2020","10","9"
"2023","0","2"
